Date,USD,CAD
10/09/2021,1,1.349
11/09/2021,1,1.349
12/09/2021,1,1.349
13/09/2021,1,1.35
14/09/2021,1,1.35
15/09/2021,1,1.35
16/09/2021,1,1.35
17/09/2021,1,1.35
18/09/2021,1,1.35
19/09/2021,1,1.351
20/09/2021,1,1.351
21/09/2021,1,1.351
22/09/2021,1,1.351
23/09/2021,1,1.351
24/09/2021,1,1.351
25/09/2021,1,1.351
26/09/2021,1,1.352
27/09/2021,1,1.352
28/09/2021,1,1.352
29/09/2021,1,1.352
30/09/2021,1,1.352
